1;Bratislavsky kraj;575978;339136;58.88;338979;337558
2;Trnavsky kraj;467546;220540;47.16;220450;219081
3;Trenciansky kraj;484944;259522;53.51;259442;257815
4;Nitriansky kraj;568302;247921;43.62;247877;246475
5;Zilinsky kraj;562538;301694;53.63;301616;299777
6;Banskobystricky kraj;518775;237457;45.77;237386;235718
7;Presovsky kraj;631177;292280;46.3;292211;290371
8;Kosicky kraj;619773;260309;42;260251;258569
