7;Presovsky kraj;13;Bohumila;Tauchmannova;550
7;Presovsky kraj;14;Juraj;Zabojnik;876
7;Presovsky kraj;15;Ivan;Zuzula;584
8;Kosicky kraj;1;Bela;Bugar;10394
8;Kosicky kraj;2;Zuzana;Caputova;100770
8;Kosicky kraj;3;Martin;Dano;1605
8;Kosicky kraj;4;Stefan;Harabin;39338
8;Kosicky kraj;5;Eduard;Chmelar;6554
8;Kosicky kraj;6;Marian;Kotleba;26900
8;Kosicky kraj;7;Milan;Krajniak;9238
8;Kosicky kraj;8;Jozsef;Menyhart;184
8;Kosicky kraj;9;Frantisek;Miklosko;14201
8;Kosicky kraj;10;Robert;Mistrik;376
8;Kosicky kraj;11;Maros;Sefcovic;46862
8;Kosicky kraj;12;Robert;Svec;693
8;Kosicky kraj;13;Bohumila;Tauchmannova;399
8;Kosicky kraj;14;Juraj;Zabojnik;583
8;Kosicky kraj;15;Ivan;Zuzula;472
