1;Bratislavsky kraj;106;Malacky;1;Bela;Bugar;285
1;Bratislavsky kraj;106;Malacky;2;Zuzana;Caputova;15864
1;Bratislavsky kraj;106;Malacky;3;Martin;Dano;134
1;Bratislavsky kraj;106;Malacky;4;Stefan;Harabin;3794
1;Bratislavsky kraj;106;Malacky;5;Eduard;Chmelar;847
1;Bratislavsky kraj;106;Malacky;6;Marian;Kotleba;2966
1;Bratislavsky kraj;106;Malacky;7;Milan;Krajniak;821
1;Bratislavsky kraj;106;Malacky;8;Jozsef;Menyhart;5
1;Bratislavsky kraj;106;Malacky;9;Frantisek;Miklosko;1135
1;Bratislavsky kraj;106;Malacky;10;Robert;Mistrik;44
1;Bratislavsky kraj;106;Malacky;11;Maros;Sefcovic;5231
1;Bratislavsky kraj;106;Malacky;12;Robert;Svec;71
1;Bratislavsky kraj;106;Malacky;13;Bohumila;Tauchmannova;41
1;Bratislavsky kraj;106;Malacky;14;Juraj;Zabojnik;116
1;Bratislavsky kraj;106;Malacky;15;Ivan;Zuzula;71
1;Bratislavsky kraj;107;Pezinok;1;Bela;Bugar;178
1;Bratislavsky kraj;107;Pezinok;2;Zuzana;Caputova;19301
1;Bratislavsky kraj;107;Pezinok;3;Martin;Dano;104
1;Bratislavsky kraj;107;Pezinok;4;Stefan;Harabin;3821
1;Bratislavsky kraj;107;Pezinok;5;Eduard;Chmelar;1116
1;Bratislavsky kraj;107;Pezinok;6;Marian;Kotleba;2112
1;Bratislavsky kraj;107;Pezinok;7;Milan;Krajniak;563
1;Bratislavsky kraj;107;Pezinok;8;Jozsef;Menyhart;2
1;Bratislavsky kraj;107;Pezinok;9;Frantisek;Miklosko;1456
1;Bratislavsky kraj;107;Pezinok;10;Robert;Mistrik;38
1;Bratislavsky kraj;107;Pezinok;11;Maros;Sefcovic;4589
1;Bratislavsky kraj;107;Pezinok;12;Robert;Svec;78
1;Bratislavsky kraj;107;Pezinok;13;Bohumila;Tauchmannova;48
1;Bratislavsky kraj;107;Pezinok;14;Juraj;Zabojnik;51
1;Bratislavsky kraj;107;Pezinok;15;Ivan;Zuzula;51
1;Bratislavsky kraj;108;Senec;1;Bela;Bugar;1332
1;Bratislavsky kraj;108;Senec;2;Zuzana;Caputova;23899
1;Bratislavsky kraj;108;Senec;3;Martin;Dano;189
1;Bratislavsky kraj;108;Senec;4;Stefan;Harabin;4236
1;Bratislavsky kraj;108;Senec;5;Eduard;Chmelar;1138
