Bratislava I;1;Zuzana;Caputova;18921
Bratislava I;2;Maros;Sefcovic;4926
Bratislava II;1;Zuzana;Caputova;41627
Bratislava II;2;Maros;Sefcovic;13631
Bratislava III;1;Zuzana;Caputova;25393
Bratislava III;2;Maros;Sefcovic;8700
Bratislava IV;1;Zuzana;Caputova;35425
Bratislava IV;2;Maros;Sefcovic;12900
Bratislava V;1;Zuzana;Caputova;39250
Bratislava V;2;Maros;Sefcovic;14487
Malacky;1;Zuzana;Caputova;18196
Malacky;2;Maros;Sefcovic;9051
Pezinok;1;Zuzana;Caputova;21414
Pezinok;2;Maros;Sefcovic;8356
Senec;1;Zuzana;Caputova;27728
Senec;2;Maros;Sefcovic;9113
Dunajska Streda;1;Zuzana;Caputova;25813
Dunajska Streda;2;Maros;Sefcovic;4936
Galanta;1;Zuzana;Caputova;19686
Galanta;2;Maros;Sefcovic;9154
Piestany;1;Zuzana;Caputova;14451
Piestany;2;Maros;Sefcovic;9620
Senica;1;Zuzana;Caputova;13224
Senica;2;Maros;Sefcovic;8249
Skalica;1;Zuzana;Caputova;11428
Skalica;2;Maros;Sefcovic;5341
Hlohovec;1;Zuzana;Caputova;8162
Hlohovec;2;Maros;Sefcovic;7388
Trnava;1;Zuzana;Caputova;30434
Trnava;2;Maros;Sefcovic;19682
Banovce nad Bebravou;1;Zuzana;Caputova;5928
Banovce nad Bebravou;2;Maros;Sefcovic;7234
Myjava;1;Zuzana;Caputova;6220
Myjava;2;Maros;Sefcovic;3998
Nove Mesto nad Vahom;1;Zuzana;Caputova;13286
Nove Mesto nad Vahom;2;Maros;Sefcovic;10267
Povazska Bystrica;1;Zuzana;Caputova;9982
Povazska Bystrica;2;Maros;Sefcovic;12207
Puchov;1;Zuzana;Caputova;7536
Puchov;2;Maros;Sefcovic;8628
Partizanske;1;Zuzana;Caputova;7514
Partizanske;2;Maros;Sefcovic;8177
Prievidza;1;Zuzana;Caputova;25014
Prievidza;2;Maros;Sefcovic;24088
Ilava;1;Zuzana;Caputova;10303
Ilava;2;Maros;Sefcovic;11319
Trencin;1;Zuzana;Caputova;26659
Trencin;2;Maros;Sefcovic;19159
Komarno;1;Zuzana;Caputova;14937
Komarno;2;Maros;Sefcovic;5539
Levice;1;Zuzana;Caputova;20905
Levice;2;Maros;Sefcovic;13051
Nitra;1;Zuzana;Caputova;33362
Nitra;2;Maros;Sefcovic;25477
Zlate Moravce;1;Zuzana;Caputova;6661
Zlate Moravce;2;Maros;Sefcovic;8352
Nove Zamky;1;Zuzana;Caputova;24230
Nove Zamky;2;Maros;Sefcovic;16311
Sala;1;Zuzana;Caputova;10802
Sala;2;Maros;Sefcovic;4419
Topolcany;1;Zuzana;Caputova;10552
Topolcany;2;Maros;Sefcovic;14553
Cadca;1;Zuzana;Caputova;9048
Cadca;2;Maros;Sefcovic;18635
Dolny Kubin;1;Zuzana;Caputova;8261
Dolny Kubin;2;Maros;Sefcovic;5498
Liptovsky Mikulas;1;Zuzana;Caputova;16089
Liptovsky Mikulas;2;Maros;Sefcovic;11773
Martin;1;Zuzana;Caputova;20112
Martin;2;Maros;Sefcovic;15747
Turcianske Teplice;1;Zuzana;Caputova;3016
Turcianske Teplice;2;Maros;Sefcovic;3173
Namestovo;1;Zuzana;Caputova;7425
Namestovo;2;Maros;Sefcovic;9141
Tvrdosin;1;Zuzana;Caputova;6224
Tvrdosin;2;Maros;Sefcovic;6129
Ruzomberok;1;Zuzana;Caputova;11295
Ruzomberok;2;Maros;Sefcovic;9057
Bytca;1;Zuzana;Caputova;4373
Bytca;2;Maros;Sefcovic;5683
Kysucke Nove Mesto;1;Zuzana;Caputova;4218
Kysucke Nove Mesto;2;Maros;Sefcovic;7168
Zilina;1;Zuzana;Caputova;33742
Zilina;2;Maros;Sefcovic;27089
Banska Bystrica;1;Zuzana;Caputova;26531
Banska Bystrica;2;Maros;Sefcovic;16316
Brezno;1;Zuzana;Caputova;9710
Brezno;2;Maros;Sefcovic;9245
Lucenec;1;Zuzana;Caputova;10523
Lucenec;2;Maros;Sefcovic;7146
Poltar;1;Zuzana;Caputova;2608
Poltar;2;Maros;Sefcovic;3564
Revuca;1;Zuzana;Caputova;4417
Revuca;2;Maros;Sefcovic;3850
Rimavska Sobota;1;Zuzana;Caputova;9511
Rimavska Sobota;2;Maros;Sefcovic;7120
Velky Krtis;1;Zuzana;Caputova;5821
Velky Krtis;2;Maros;Sefcovic;5242
Detva;1;Zuzana;Caputova;4494
Detva;2;Maros;Sefcovic;5664
Krupina;1;Zuzana;Caputova;3471
Krupina;2;Maros;Sefcovic;3667
Zvolen;1;Zuzana;Caputova;14259
Zvolen;2;Maros;Sefcovic;10503
Banska Stiavnica;1;Zuzana;Caputova;3130
Banska Stiavnica;2;Maros;Sefcovic;2442
Zarnovica;1;Zuzana;Caputova;4104
Zarnovica;2;Maros;Sefcovic;4405
Ziar nad Hronom;1;Zuzana;Caputova;8788
Ziar nad Hronom;2;Maros;Sefcovic;6859
Bardejov;1;Zuzana;Caputova;10662
Bardejov;2;Maros;Sefcovic;12711
Humenne;1;Zuzana;Caputova;7492
Humenne;2;Maros;Sefcovic;10949
Medzilaborce;1;Zuzana;Caputova;1068
Medzilaborce;2;Maros;Sefcovic;2229
Snina;1;Zuzana;Caputova;3054
Snina;2;Maros;Sefcovic;6421
Kezmarok;1;Zuzana;Caputova;9547
Kezmarok;2;Maros;Sefcovic;6377
Levoca;1;Zuzana;Caputova;4836
Levoca;2;Maros;Sefcovic;4214
Poprad;1;Zuzana;Caputova;21390
Poprad;2;Maros;Sefcovic;12501
Presov;1;Zuzana;Caputova;32386
Presov;2;Maros;Sefcovic;23478
Sabinov;1;Zuzana;Caputova;6275
Sabinov;2;Maros;Sefcovic;9304
Stara Lubovna;1;Zuzana;Caputova;5805
Stara Lubovna;2;Maros;Sefcovic;8129
Stropkov;1;Zuzana;Caputova;2459
Stropkov;2;Maros;Sefcovic;3856
Svidnik;1;Zuzana;Caputova;3200
Svidnik;2;Maros;Sefcovic;6309
Vranov nad Toplou;1;Zuzana;Caputova;6589
Vranov nad Toplou;2;Maros;Sefcovic;13118
Kosice I;1;Zuzana;Caputova;16980
Kosice I;2;Maros;Sefcovic;6932
Kosice II;1;Zuzana;Caputova;17501
Kosice II;2;Maros;Sefcovic;8491
Kosice III;1;Zuzana;Caputova;6099
Kosice III;2;Maros;Sefcovic;3388
Kosice IV;1;Zuzana;Caputova;13453
